,Unnamed: 0,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Horsepower,Displacement_L,Cylinder_Type,seat_numbers
0,0,Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$10,300",300.0,3.7,V6,5.0
1,1,Hyundai,Palisade SEL,2021,34742,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,"$38,005",291.0,3.8,V6,7.0
2,2,Lexus,RX 350 RX 350,2022,22372,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,No,"$54,598",295.0,3.5,V6,5.0
3,3,INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,None reported,Yes,"$15,500",354.0,3.5,V6,5.0
4,4,Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Glacier White Metallic,Black,None reported,No,"$34,999",228.0,2.0,I4,5.0
5,5,Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$31,000",292.0,2.0,I4,4.0
6,6,BMW,740 iL,2001,242000,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Green,None reported,Yes,"$7,300",282.0,4.4,V8,5.0
7,7,Lexus,RC 350 F Sport,2021,23436,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$41,927",311.0,3.5,V6,4.0
8,8,Tesla,Model X Long Range Plus,2020,34000,not defined,534.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,None reported,Yes,"$69,950",534.0,0.0,Electric,7.0
9,9,Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,No,"$73,897",380.0,3.0,V6,5.0
10,10,Aston,Martin DBS Superleggera,2019,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$184,606",715.0,5.2,V12,2.0
11,11,Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Yellow,Black,None reported,Yes,"$53,500",382.0,3.0,Straight 6,2.0
12,12,Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Brown,None reported,Yes,"$62,000",400.0,3.0,V6,7.0
13,13,Jaguar,F-TYPE,2020,15903,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,No,"$47,998",296.0,2.0,I4,2.0
14,14,Land,Rover LR4 HSE,2013,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$29,990",375.0,5.0,V8,7.0
15,15,Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,White,None reported,Yes,"$250,000",208.0,2.0,I4,5.0
16,16,Dodge,Challenger SXT,2013,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,"$16,800",305.0,3.6,V6,4.0
17,17,Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Purple,–,None reported,Yes,"$11,000",287.0,3.5,V6,2.0
18,18,Jaguar,F-TYPE R,2018,35250,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,None reported,Yes,"$68,750",550.0,5.0,V8,2.0
19,19,Genesis,GV70 3.5T Sport,2023,5400,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Beige,not defined,No,"$60,000",375.0,3.5,V6,5.0
20,20,Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,None reported,Yes,"$4,500",120.0,2.2,I4,5.0
21,21,BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,No,"$38,598",320.0,3.0,I6,4.0
22,22,Ford,F-150 XLT,2023,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,"$58,504",400.0,3.5,V6,5.0
23,23,Chevrolet,Suburban RST,2021,52000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$61,000",355.0,5.3,V8,8.0
24,24,Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$32,300",276.0,2.0,I4,5.0
25,25,Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,No,"$13,998",149.0,1.8,I4,5.0
26,26,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$59,995",382.0,2.0,I4,4.0
27,27,BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$25,700",445.0,4.4,V8,4.0
28,28,Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,Mythos Black Metallic,Black,None reported,Yes,"$21,375",248.0,2.0,I4,5.0
29,29,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$48,000",362.0,3.0,V6,5.0
30,30,Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,"$10,900",345.0,5.7,V8,5.0
